Country,Birthrate,Population,Weight
阿富汗,36.7,34262840,1257446
阿尔巴尼亚,13,2862400,37211
阿尔及利亚,20,45400000,908000
安道尔,7,83523,584
安哥拉,42.7,34094000,1455813
安提瓜和巴布达,15.4,100772,1551
阿根廷,16,46045000,736720
亚美尼亚,11.9,2957500,35194
澳大利亚,12.4,26997000,334762
奥地利,9.5,9106100,86507
阿塞拜疆,14.5,10152000,147204
巴哈马,14.8,397360,5880
巴林,12.7,1504365,19105
孟加拉国,18.1,169830000,3073923
巴巴多斯,11.3,267800,3026
白俄罗斯,9.5,9200600,87405
比利时,11.1,11810000,131091
伯利兹,22,408490,8986
贝宁,42.1,12607000,530754
不丹,16.3,741670,12089
玻利维亚,20.8,12006000,249724
波黑,8.6,3788100,32577
博茨瓦纳,20.9,2338900,48883
巴西,13.6,203060000,2761616
文莱,16.5,442400,7299
保加利亚,8.3,6942100,57619
布基纳法索,35.1,22800000,800280
布隆迪,36.5,12838000,468587
柬埔寨,21.3,17091464,364048
喀麦隆,36.3,28089000,1019630
加拿大,10.2,41012563,418328
佛得角,19.1,491233,9382
中非,33.2,5368400,178230
乍得,41.7,16818000,701310
智利,13.1,19961000,261489
中国大陆,11.6,1409670000,16352172
哥伦比亚,15.4,52696000,811518
科摩罗,23.6,873720,20619
刚果民主共和国,41,105060000,4307460
刚果共和国,32.6,5206400,169728
哥斯达黎加,14.8,5111200,75645
科特迪瓦,29.1,29389000,855219
克罗地亚,8.7,4008600,34874
古巴,10.4,11113000,115575
塞浦路斯,10.9,918100,10007
捷克,8.9,10882000,96849
丹麦,11.1,5827500,64685
吉布提,22.7,1078400,24479
多米尼克,14.5,67408,977
多米尼加,18.5,10760000,199060
厄瓜多尔,17,16939000,287963
埃及,27.2,106400000,2894080
萨尔瓦多,18.6,6210500,115515
赤道几内亚,30.7,1454800,44662
厄立特里亚,27.9,5784500,161387
爱沙尼亚,9.3,1328400,12354
埃塞俄比亚,31.6,129720000,4099152
斐济,17.4,895400,15579
